Fecha,Pasajeros_por_dia,Viajes_por_dia,Tarifario_por_dia,Total_recaudado_por_dia,Pago_con_tarjeta,Pago_con_efectivo,Tipo_de_Taxi
2022-01-01,1320,1273,"20,361.61","25,128.72",568.00,508.00,green
2022-01-02,1739,1500,"21,448.61","26,851.77",830.00,543.00,green
2022-01-03,2716,2332,"30,798.87","38,778.99","1,216.00",917.00,green
2022-01-04,2438,2165,"30,469.21","38,390.10","1,190.00",793.00,green
2022-01-05,2650,2259,"30,853.43","39,222.21","1,266.00",806.00,green
2022-01-06,2698,2352,"32,090.35","40,544.07","1,297.00",877.00,green
2022-01-07,2265,1832,"24,111.90","30,888.03",989.00,672.00,green
2022-01-08,2155,1927,"26,510.93","33,259.46","1,040.00",700.00,green
2022-01-09,1601,1412,"19,377.73","24,154.97",802.00,479.00,green
2022-01-10,2614,2140,"28,591.78","36,273.36","1,181.00",789.00,green
2022-01-10,5,5,51.00,58.75,0.00,5.00,green
2022-01-11,3,3,25.50,27.90,0.00,3.00,green
2022-01-11,2618,2254,"29,990.03","38,184.71","1,267.00",770.00,green
2022-01-12,1,1,7.50,8.30,0.00,1.00,green
2022-01-12,2446,2146,"29,872.00","37,694.68","1,219.00",738.00,green
2022-01-13,2627,2274,"33,032.98","41,163.39","1,232.00",802.00,green
2022-01-14,2857,2457,"35,061.38","44,205.81","1,357.00",853.00,green
2022-01-15,2058,1910,"27,561.37","34,159.35","1,025.00",617.00,green
2022-01-16,1762,1613,"22,500.13","27,997.74",867.00,521.00,green
2022-01-17,1,1,9.00,9.80,0.00,1.00,green
2022-01-17,1788,1547,"20,517.95","25,984.32",896.00,490.00,green
2022-01-18,2592,2191,"29,146.45","36,773.34","1,205.00",777.00,green
2022-01-19,1,1,4.50,5.80,0.00,1.00,green
2022-01-19,2741,2358,"32,149.69","40,430.63","1,263.00",872.00,green
2022-01-20,2749,2351,"31,993.82","40,688.96","1,356.00",782.00,green
2022-01-21,2892,2538,"35,335.77","44,135.98","1,374.00",865.00,green
2022-01-22,2241,1972,"26,952.89","33,627.17","1,071.00",677.00,green
2022-01-23,1729,1628,"23,339.41","29,135.35",952.00,484.00,green
2022-01-24,2483,2269,"31,482.53","39,446.30","1,196.00",805.00,green
2022-01-25,2,2,20.00,21.60,0.00,2.00,green
2022-01-25,2532,2277,"31,578.05","39,660.69","1,259.00",786.00,green
2022-01-26,2609,2372,"33,032.65","41,813.36","1,322.00",789.00,green
2022-01-27,2850,2568,"37,324.73","46,429.15","1,380.00",882.00,green
2022-01-28,2,2,20.00,22.10,0.00,2.00,green
2022-01-28,2689,2444,"35,121.06","44,076.19","1,325.00",803.00,green
2022-01-29,1,1,17.50,18.30,0.00,1.00,green
2022-01-29,274,384,"5,963.41","7,296.16",151.00,89.00,green
2022-01-30,1476,1461,"19,741.10","24,917.53",783.00,400.00,green
2022-01-31,2501,2285,"33,180.10","41,674.99","1,226.00",751.00,green
2022-01-31,4,4,47.00,52.56,2.00,2.00,green
2022-02-01,2614,2399,"34,800.17","43,268.19","1,253.00",863.00,green
2022-02-02,2818,2536,"36,999.30","46,196.62","1,338.00",884.00,green
2022-02-03,2967,2683,"38,666.59","48,279.17","1,419.00",932.00,green
2022-02-04,2922,2802,"38,475.83","48,745.06","1,490.00",911.00,green
2022-02-05,2830,2722,"38,355.95","48,153.71","1,424.00",849.00,green
2022-02-06,1890,1747,"24,613.43","30,784.00",978.00,550.00,green
2022-02-07,2,2,28.00,29.60,0.00,2.00,green
2022-02-07,2578,2397,"33,018.58","41,550.77","1,264.00",857.00,green
2022-02-08,1,1,19.50,23.55,0.00,1.00,green
2022-02-08,2761,2426,"33,805.35","42,721.29","1,339.00",824.00,green
2022-02-09,2764,2506,"34,594.06","43,778.38","1,439.00",846.00,green
2022-02-09,3,3,29.00,31.90,0.00,3.00,green
2022-02-10,2988,2637,"36,868.34","46,677.09","1,480.00",909.00,green
2022-02-11,3185,2787,"40,164.36","50,819.68","1,518.00",963.00,green
2022-02-12,2785,2512,"36,217.97","45,714.73","1,354.00",818.00,green
2022-02-13,1873,1764,"25,407.91","31,998.66",991.00,501.00,green
2022-02-14,3316,2770,"37,995.45","48,342.26","1,502.00",945.00,green
2022-02-14,6,6,102.00,112.05,1.00,5.00,green
2022-02-15,1,1,14.50,18.96,1.00,0.00,green
2022-02-15,3047,2550,"34,603.78","43,946.54","1,416.00",886.00,green
2022-02-16,3025,2625,"36,834.39","46,584.97","1,447.00",915.00,green
2022-02-17,3349,2871,"39,832.22","50,586.90","1,595.00",991.00,green
2022-02-18,3329,2923,"41,986.18","53,519.23","1,620.00",987.00,green
2022-02-19,2624,2358,"33,690.14","42,491.00","1,271.00",785.00,green
2022-02-20,2039,1888,"27,995.50","34,955.81","1,071.00",607.00,green
2022-02-21,2356,2021,"28,247.99","36,062.38","1,150.00",696.00,green
2022-02-22,2872,2453,"33,540.68","42,963.22","1,401.00",842.00,green
2022-02-23,2,2,19.00,20.60,1.00,1.00,green
2022-02-23,3310,2748,"37,950.03","48,284.97","1,566.00",952.00,green
2022-02-24,3173,2732,"37,137.31","47,768.14","1,554.00",921.00,green
