Fecha,Pasajeros_por_dia,Viajes_por_dia,Tarifario_por_dia,Total_recaudado_por_dia,Pago_con_tarjeta,Pago_con_efectivo,Tipo_de_Taxi
2022-01-01,96372,"63,441.00","927,316.08","1,330,638.29","2,124.00","44,197.00",yellow
2022-01-02,86127,"58,421.00","934,810.76","1,329,446.47","1,048.00","42,231.00",yellow
2022-01-03,99944,"72,405.00","1,038,691.45","1,513,871.22","1,451.00","52,229.00",yellow
2022-01-04,101120,"74,562.00","1,004,684.68","1,476,121.01","1,509.00","54,404.00",yellow
2022-01-05,100118,"74,592.00","977,559.68","1,443,025.39","1,654.00","54,933.00",yellow
2022-01-06,107698,"79,909.00","997,389.41","1,489,668.14","1,652.00","59,706.00",yellow
2022-01-07,98044,"71,590.00","1,268,493.33","1,712,217.66","1,958.00","54,002.00",yellow
2022-01-08,119897,"83,177.00","1,039,755.62","1,538,964.97","1,802.00","64,574.00",yellow
2022-01-09,91050,"64,014.00","876,439.95","1,281,540.90","1,352.00","49,644.00",yellow
2022-01-10,96795,"73,692.00","933,993.55","1,387,224.21","1,677.00","55,106.00",yellow
2022-01-11,101239,"77,603.00","927,380.52","1,395,534.42","1,964.00","58,989.00",yellow
2022-01-12,105318,"80,352.00","973,877.14","1,463,859.49","1,854.00","61,381.00",yellow
2022-01-13,112418,"84,952.00","1,051,842.83","1,577,437.97","1,990.00","64,957.00",yellow
2022-01-14,127169,"93,817.00","1,177,462.93","1,773,525.23","2,458.00","72,117.00",yellow
2022-01-15,125391,"88,704.00","1,074,457.79","1,608,275.65","2,620.00","68,920.00",yellow
2022-01-16,102306,"72,783.00","935,956.65","1,381,919.28","2,543.00","55,765.00",yellow
2022-01-17,86198,"63,518.00","882,172.42","1,294,964.35","1,596.00","49,117.00",yellow
2022-01-18,110367,"84,603.00","1,075,590.35","1,606,688.60","2,061.00","64,588.00",yellow
2022-01-19,113191,"86,640.00","1,051,819.27","1,580,338.68","2,001.00","65,998.00",yellow
2022-01-20,118269,"90,778.00","1,094,037.70","1,655,484.26","2,496.00","70,648.00",yellow
2022-01-21,134224,"101,054.00","1,215,091.27","1,840,712.53","3,225.00","78,517.00",yellow
2022-01-22,136139,"96,587.00","1,151,841.05","1,721,959.11","2,950.00","75,854.00",yellow
